,Site,Transect,Date,Genus,Species,Size,Count,Phase,Notes,Observer,Year,log_a_coef,b_coef,biomass_g
66,Alligator,7,8/23/2022,Scarus,taeniopterus,9,1,Initial,NA,AAS,2022,-4.1836,2.7086,12.87245141
67,Alligator,8,8/23/2022,Sparisoma,aurofrenatum,13,1,Initial,NA,AAS,2022,-5.7587,3.4291,30.91883698
68,Alligator,8,8/23/2022,Sparisoma,aurofrenatum,17,1,Terminal,NA,AAS,2022,-5.7587,3.4291,77.57689558
69,Alligator,8,8/23/2022,Sparisoma,rubripinne,21,1,Terminal,NA,AAS,2022,-4.8701,3.0641,175.9592657
70,Alligator,8,8/23/2022,Sparisoma,viride,15,1,Initial,NA,AAS,2022,-4.5223,2.9214,68.38061528
71,Alligator,8,8/23/2022,Scarus,vetula,25,1,Terminal,NA,AAS,2022,-5.5396,3.33,278.9589045
72,Alligator,8,8/23/2022,Scarus,iseri,14,1,Terminal,NA,AAS,2022,-4.8887,3.0548,46.48276173
73,Alligator,9,8/23/2022,Sparisoma,rubripinne,24,1,Terminal,NA,AAS,2022,-4.8701,3.0641,264.9142169
74,Alligator,9,8/23/2022,Sparisoma,viride,25,1,Terminal,NA,AAS,2022,-4.5223,2.9214,304.1178709
75,Alligator,9,8/23/2022,Sparisoma,aurofrenatum,18,1,Terminal,NA,AAS,2022,-5.7587,3.4291,94.37456161
76,Alligator,9,8/23/2022,Sparisoma,aurofrenatum,11,1,Initial,NA,AAS,2022,-5.7587,3.4291,17.43571079
77,Alligator,10,8/23/2022,Sparisoma,rubripinne,17,1,Initial,NA,AAS,2022,-4.8701,3.0641,92.09128649
78,Alligator,10,8/23/2022,Sparisoma,rubripinne,25,1,Terminal,NA,AAS,2022,-4.8701,3.0641,300.2119536
79,Alligator,10,8/23/2022,Sparisoma,viride,14,1,Initial,NA,AAS,2022,-4.5223,2.9214,55.89827983
80,Alligator,10,8/23/2022,Sparisoma,viride,26,1,Terminal,NA,AAS,2022,-4.5223,2.9214,341.0382874
81,Alligator,10,8/23/2022,Sparisoma,viride,3,1,Juvenile,NA,AAS,2022,-4.5223,2.9214,0.62081476
82,Alligator,10,8/23/2022,Sparisoma,aurofrenatum,9,1,Initial,NA,AAS,2022,-5.7587,3.4291,8.76179301
83,Alligator,10,8/23/2022,Scarus,iseri,16,1,Terminal,NA,AAS,2022,-4.8887,3.0548,69.89493784
84,Alligator,10,8/23/2022,Scarus,iseri,6,1,Initial,NA,AAS,2022,-4.8887,3.0548,3.49298274
85,Alligator,10,8/23/2022,Scarus,taeniopterus,7,1,Initial,NA,AAS,2022,-4.1836,2.7086,6.516772367
86,Alligator,10,8/23/2022,Scarus,taeniopterus,4,1,Initial,NA,AAS,2022,-4.1836,2.7086,1.431329731
87,Carysfort,1,8/23/2022,Sparisoma,viride,25,1,Terminal,NA,AAS,2022,-4.5223,2.9214,304.1178709
88,Carysfort,1,8/23/2022,Sparisoma,viride,16,1,Initial,NA,AAS,2022,-4.5223,2.9214,82.56882746
89,Carysfort,1,8/23/2022,Scarus,vetula,25,1,Terminal,NA,AAS,2022,-5.5396,3.33,278.9589045
90,Carysfort,1,8/23/2022,Sparisoma,aurofrenatum,11,1,Initial,NA,AAS,2022,-5.7587,3.4291,17.43571079
91,Carysfort,1,8/23/2022,Sparisoma,aurofrenatum,14,1,Initial,NA,AAS,2022,-5.7587,3.4291,39.8646217
92,Carysfort,1,8/23/2022,Sparisoma,aurofrenatum,8,1,Initial,NA,AAS,2022,-5.7587,3.4291,5.85040423
93,Carysfort,1,8/23/2022,Sparisoma,aurofrenatum,21,1,Terminal,NA,AAS,2022,-5.7587,3.4291,160.1113737
94,Carysfort,1,8/23/2022,Sparisoma,aurofrenatum,6,1,Initial,NA,AAS,2022,-5.7587,3.4291,2.181516252
95,Carysfort,1,8/23/2022,Sparisoma,aurofrenatum,16,1,Initial,NA,AAS,2022,-5.7587,3.4291,63.01556471
96,Carysfort,2,8/23/2022,Sparisoma,aurofrenatum,20,1,Terminal,NA,AAS,2022,-5.7587,3.4291,135.4446821
97,Carysfort,2,8/23/2022,Sparisoma,aurofrenatum,22,1,Terminal,NA,AAS,2022,-5.7587,3.4291,187.8026062
98,Carysfort,2,8/23/2022,Sparisoma,aurofrenatum,3,1,Initial,NA,AAS,2022,-5.7587,3.4291,0.202533326
99,Carysfort,2,8/23/2022,Sparisoma,aurofrenatum,4,1,Initial,NA,AAS,2022,-5.7587,3.4291,0.543155168
100,Carysfort,2,8/23/2022,Sparisoma,aurofrenatum,14,1,Initial,NA,AAS,2022,-5.7587,3.4291,39.8646217
101,Carysfort,2,8/23/2022,Sparisoma,viride,13,1,Initial,NA,AAS,2022,-4.5223,2.9214,45.01674706
102,Carysfort,2,8/23/2022,Sparisoma,viride,5,1,Initial,NA,AAS,2022,-4.5223,2.9214,2.761029016
103,Carysfort,2,8/23/2022,Sparisoma,viride,3,1,Initial,NA,AAS,2022,-4.5223,2.9214,0.62081476
104,Carysfort,2,8/23/2022,Scarus,vetula,18,1,Initial,NA,AAS,2022,-5.5396,3.33,93.42378146
105,Carysfort,2,8/23/2022,Scarus,vetula,24,1,Terminal,NA,AAS,2022,-5.5396,3.33,243.5025059
106,Carysfort,2,8/23/2022,Scarus,iseri,5,1,Initial,NA,AAS,2022,-4.8887,3.0548,2.001306331
107,Carysfort,2,8/23/2022,Scarus,iseri,3,1,Initial,NA,AAS,2022,-4.8887,3.0548,0.420348991
108,Carysfort,2,8/23/2022,Scarus,iseri,3,1,Initial,NA,AAS,2022,-4.8887,3.0548,0.420348991
109,Carysfort,3,8/23/2022,Sparisoma,aurofrenatum,14,1,Initial,NA,AAS,2022,-5.7587,3.4291,39.8646217
110,Carysfort,3,8/23/2022,Sparisoma,aurofrenatum,14,1,Initial,NA,AAS,2022,-5.7587,3.4291,39.8646217
111,Carysfort,3,8/23/2022,Sparisoma,aurofrenatum,21,1,Terminal,NA,AAS,2022,-5.7587,3.4291,160.1113737
112,Carysfort,3,8/23/2022,Sparisoma,aurofrenatum,11,1,Initial,NA,AAS,2022,-5.7587,3.4291,17.43571079
113,Carysfort,3,8/23/2022,Sparisoma,aurofrenatum,3,1,Juvenile,NA,AAS,2022,-5.7587,3.4291,0.202533326
114,Carysfort,3,8/23/2022,Sparisoma,aurofrenatum,22,1,Terminal,NA,AAS,2022,-5.7587,3.4291,187.8026062
115,Carysfort,3,8/23/2022,Sparisoma,aurofrenatum,16,1,Initial,NA,AAS,2022,-5.7587,3.4291,63.01556471
116,Carysfort,3,8/23/2022,Sparisoma,aurofrenatum,15,1,Initial,NA,AAS,2022,-5.7587,3.4291,50.50501872
117,Carysfort,3,8/23/2022,Sparisoma,aurofrenatum,14,1,Initial,NA,AAS,2022,-5.7587,3.4291,39.8646217
118,Carysfort,3,8/23/2022,Sparisoma,viride,6,1,Initial,NA,AAS,2022,-4.5223,2.9214,4.703174179
119,Carysfort,3,8/23/2022,Scarus,iseri,4,1,Initial,NA,AAS,2022,-4.8887,3.0548,1.012215216
120,Carysfort,3,8/23/2022,Scarus,coelestinus,32,1,Terminal,NA,AAS,2022,-4.8764,3.0618,622.1114629
121,Carysfort,4,8/23/2022,Sparisoma,viride,13,1,Initial,top of spur,ML,2022,-4.5223,2.9214,45.01674706
122,Carysfort,4,8/23/2022,Sparisoma,viride,12,1,Initial,top of spur,ML,2022,-4.5223,2.9214,35.63035031
123,Carysfort,4,8/23/2022,Sparisoma,viride,17,1,Initial,top of spur,ML,2022,-4.5223,2.9214,98.56744039
124,Carysfort,4,8/23/2022,Scarus,coelestinus,35,1,Terminal,top of spur,ML,2022,-4.8764,3.0618,818.5166878
125,Carysfort,4,8/23/2022,Scarus,taeniopterus,28,1,Terminal,top of spur,ML,2022,-4.1836,2.7086,278.4660431
126,Carysfort,4,8/23/2022,Sparisoma,aurofrenatum,18,1,Terminal,top of spur,ML,2022,-5.7587,3.4291,94.37456161
127,Carysfort,4,8/23/2022,Sparisoma,aurofrenatum,14,1,Initial,top of spur,ML,2022,-5.7587,3.4291,39.8646217
128,Carysfort,4,8/23/2022,Sparisoma,aurofrenatum,10,1,Initial,top of spur,ML,2022,-5.7587,3.4291,12.57476854
129,Carysfort,4,8/23/2022,Sparisoma,aurofrenatum,12,1,Initial,top of spur,ML,2022,-5.7587,3.4291,23.49743251
130,Carysfort,4,8/23/2022,Scarus,iseri,12,1,Initial,top of spur,ML,2022,-4.8887,3.0548,29.02571124
131,Carysfort,5,8/23/2022,Sparisoma,viride,13,1,Initial,top of spur,ML,2022,-4.5223,2.9214,45.01674706
132,Carysfort,5,8/23/2022,Sparisoma,aurofrenatum,20,1,Terminal,top of spur,ML,2022,-5.7587,3.4291,135.4446821
133,Carysfort,5,8/23/2022,Sparisoma,aurofrenatum,10,1,Initial,top of spur,ML,2022,-5.7587,3.4291,12.57476854
134,Carysfort,5,8/23/2022,Scarus,coelestinus,35,1,Terminal,top of spur,ML,2022,-4.8764,3.0618,818.5166878
135,Carysfort,5,8/23/2022,Scarus,taeniopterus,32,1,Terminal,top of spur,ML,2022,-4.1836,2.7086,399.8059299
136,Carysfort,6,8/23/2022,Sparisoma,aurofrenatum,12,1,Initial,top of spur,ML,2022,-5.7587,3.4291,23.49743251
137,Carysfort,6,8/23/2022,Sparisoma,viride,10,1,Initial,top of spur,ML,2022,-4.5223,2.9214,20.91702907
138,Carysfort,6,8/23/2022,Sparisoma,viride,18,1,Initial,top of spur,ML,2022,-4.5223,2.9214,116.4804652
139,Carysfort,6,8/23/2022,Scarus,guacamaia,40,1,Terminal,top of spur,ML,2022,-4.8714,3.0626,1252.186247
140,Carysfort,6,8/23/2022,Scarus,guacamaia,37,1,Terminal,top of spur,ML,2022,-4.8714,3.0626,986.2218044
141,Carysfort,6,8/23/2022,Scarus,guacamaia,35,1,Terminal,top of spur,ML,2022,-4.8714,3.0626,831.8840407
142,Carysfort,6,8/23/2022,Scarus,taeniopterus,30,1,Terminal,top of spur,ML,2022,-4.1836,2.7086,335.6839915
143,Carysfort,6,8/23/2022,Scarus,coelestinus,38,1,Terminal,top of spur,ML,2022,-4.8764,3.0618,1052.886158
144,Carysfort,6,8/23/2022,Scarus,coelestinus,35,1,Terminal,top of spur,ML,2022,-4.8764,3.0618,818.5166878
145,Carysfort,6,8/23/2022,Scarus,coelestinus,36,1,Terminal,top of spur,ML,2022,-4.8764,3.0618,892.2509044
146,Carysfort,6,8/23/2022,Scarus,coelestinus,34,1,Terminal,top of spur,ML,2022,-4.8764,3.0618,749.00057
147,Carysfort,6,8/23/2022,Scarus,coelestinus,40,1,Terminal,top of spur,ML,2022,-4.8764,3.0618,1231.933546
148,Carysfort,6,8/23/2022,Scarus,coelestinus,33,1,Terminal,top of spur,ML,2022,-4.8764,3.0618,683.5747009
149,Carysfort,7,8/23/2022,Sparisoma,viride,21,1,Initial,top of spur,ML,2022,-4.5223,2.9214,182.7390857
150,Carysfort,7,8/23/2022,Sparisoma,viride,11,1,Initial,top of spur,ML,2022,-4.5223,2.9214,27.6327807
151,Carysfort,7,8/23/2022,Scarus,iseri,25,1,Initial,top of spur,ML,2022,-4.8887,3.0548,273.2292176
152,Carysfort,7,8/23/2022,Scarus,taeniopterus,27,1,Terminal,top of spur,ML,2022,-4.1836,2.7086,252.3433659
153,Carysfort,7,8/23/2022,Sparisoma,rubripinne,24,1,Terminal,top of spur,ML,2022,-4.8701,3.0641,264.9142169
154,Carysfort,7,8/23/2022,Sparisoma,rubripinne,25,1,Terminal,top of spur,ML,2022,-4.8701,3.0641,300.2119536
155,Carysfort,8,8/23/2022,Scarus,taeniopterus,26,1,Terminal,low relief spur,ML,2022,-4.1836,2.7086,227.8226034
156,Carysfort,8,8/23/2022,Sparisoma,aurofrenatum,12,1,Initial,low relief spur,ML,2022,-5.7587,3.4291,23.49743251
157,Carysfort,8,8/23/2022,Sparisoma,aurofrenatum,14,1,Initial,low relief spur,ML,2022,-5.7587,3.4291,39.8646217
158,Carysfort,8,8/23/2022,Sparisoma,aurofrenatum,18,1,Terminal,low relief spur,ML,2022,-5.7587,3.4291,94.37456161
159,Carysfort,9,8/23/2022,Scarus,iseri,11,1,Initial,lower relief w 2 small spurs united,ML,2022,-4.8887,3.0548,22.25083814
160,Carysfort,9,8/23/2022,Sparisoma,viride,29,1,Terminal,lower relief w 2 small spurs united,ML,2022,-4.5223,2.9214,469.1908252
161,Carysfort,9,8/23/2022,Sparisoma,viride,12,1,Initial,lower relief w 2 small spurs united,ML,2022,-4.5223,2.9214,35.63035031
162,Carysfort,9,8/23/2022,Sparisoma,viride,12,1,Initial,lower relief w 2 small spurs united,ML,2022,-4.5223,2.9214,35.63035031
163,Carysfort,9,8/23/2022,Sparisoma,viride,14,1,Initial,lower relief w 2 small spurs united,ML,2022,-4.5223,2.9214,55.89827983
164,Carysfort,9,8/23/2022,Sparisoma,aurofrenatum,13,1,Initial,lower relief w 2 small spurs united,ML,2022,-5.7587,3.4291,30.91883698
165,Carysfort,9,8/23/2022,Sparisoma,aurofrenatum,14,1,Initial,lower relief w 2 small spurs united,ML,2022,-5.7587,3.4291,39.8646217
166,Carysfort,9,8/23/2022,Sparisoma,aurofrenatum,16,1,Initial,lower relief w 2 small spurs united,ML,2022,-5.7587,3.4291,63.01556471
167,Carysfort,9,8/23/2022,Sparisoma,aurofrenatum,10,1,Initial,lower relief w 2 small spurs united,ML,2022,-5.7587,3.4291,12.57476854
168,Carysfort,9,8/23/2022,Sparisoma,aurofrenatum,18,1,Terminal,lower relief w 2 small spurs united,ML,2022,-5.7587,3.4291,94.37456161
169,Carysfort,9,8/23/2022,Sparisoma,rubripinne,26,1,Initial,lower relief w 2 small spurs united,ML,2022,-4.8701,3.0641,338.5476749
170,Carysfort,10,8/23/2022,Sparisoma,viride,30,1,Terminal,"Top of spur ~8' depth mostly, saw school of ~15 midnight but not on transect",ML,2022,-4.5223,2.9214,518.0384956
171,Carysfort,10,8/23/2022,Sparisoma,viride,32,1,Terminal,Top of spur ~8' depth mostly,ML,2022,-4.5223,2.9214,625.5256843
172,Carysfort,10,8/23/2022,Sparisoma,viride,20,1,Initial,Top of spur ~8' depth mostly,ML,2022,-4.5223,2.9214,158.4634217
173,Carysfort,10,8/23/2022,Sparisoma,viride,17,1,Initial,Top of spur ~8' depth mostly,ML,2022,-4.5223,2.9214,98.56744039
174,Carysfort,10,8/23/2022,Sparisoma,viride,14,1,Initial,Top of spur ~8' depth mostly,ML,2022,-4.5223,2.9214,55.89827983
175,Carysfort,10,8/23/2022,Sparisoma,viride,12,1,Initial,Top of spur ~8' depth mostly,ML,2022,-4.5223,2.9214,35.63035031
176,Carysfort,10,8/23/2022,Sparisoma,viride,22,1,Initial,Top of spur ~8' depth mostly,ML,2022,-4.5223,2.9214,209.3406748
177,Carysfort,10,8/23/2022,Sparisoma,aurofrenatum,12,1,Initial,Top of spur ~8' depth mostly,ML,2022,-5.7587,3.4291,23.49743251
178,Carysfort,10,8/23/2022,Sparisoma,aurofrenatum,14,1,Initial,Top of spur ~8' depth mostly,ML,2022,-5.7587,3.4291,39.8646217
179,Carysfort,10,8/23/2022,Sparisoma,aurofrenatum,14,1,Initial,Top of spur ~8' depth mostly,ML,2022,-5.7587,3.4291,39.8646217
180,Carysfort,10,8/23/2022,Sparisoma,aurofrenatum,17,1,Terminal,Top of spur ~8' depth mostly,ML,2022,-5.7587,3.4291,77.57689558
181,Carysfort,10,8/23/2022,Scarus,iseri,19,1,Initial,Top of spur ~8' depth mostly,ML,2022,-4.8887,3.0548,118.1507547
182,Carysfort,10,8/23/2022,Scarus,taeniopterus,30,1,Terminal,Top of spur ~8' depth mostly,ML,2022,-4.1836,2.7086,335.6839915
183,Carysfort,10,8/23/2022,Sparisoma,rubripinne,26,1,Initial,Top of spur ~8' depth mostly,ML,2022,-4.8701,3.0641,338.5476749
184,Conch,1,8/22/2022,Sparisoma,aurofrenatum,16,1,Initial,NA,AAS,2022,-5.7587,3.4291,63.01556471
185,Conch,1,8/22/2022,Sparisoma,aurofrenatum,4,1,Juvenile,NA,AAS,2022,-5.7587,3.4291,0.543155168
186,Conch,1,8/22/2022,Sparisoma,viride,18,1,Initial,NA,AAS,2022,-4.5223,2.9214,116.4804652
187,Conch,1,8/22/2022,Sparisoma,rubripinne,21,1,Initial,NA,AAS,2022,-4.8701,3.0641,175.9592657
188,Conch,1,8/22/2022,Sparisoma,rubripinne,18,1,Initial,NA,AAS,2022,-4.8701,3.0641,109.718657
189,Conch,1,8/22/2022,Sparisoma,rubripinne,17,1,Initial,NA,AAS,2022,-4.8701,3.0641,92.09128649
190,Conch,2,8/22/2022,Sparisoma,aurofrenatum,14,1,Initial,NA,AAS,2022,-5.7587,3.4291,39.8646217
191,Conch,2,8/22/2022,Sparisoma,aurofrenatum,18,1,Terminal,NA,AAS,2022,-5.7587,3.4291,94.37456161
192,Conch,2,8/22/2022,Sparisoma,aurofrenatum,15,1,Initial,NA,AAS,2022,-5.7587,3.4291,50.50501872
193,Conch,2,8/22/2022,Sparisoma,aurofrenatum,19,1,Initial,NA,AAS,2022,-5.7587,3.4291,113.59886
194,Conch,2,8/22/2022,Sparisoma,aurofrenatum,5,1,Initial,NA,AAS,2022,-5.7587,3.4291,1.167449334
195,Conch,2,8/22/2022,Sparisoma,rubripinne,13,1,Initial,NA,AAS,2022,-4.8701,3.0641,40.47937755
196,Conch,2,8/22/2022,Sparisoma,rubripinne,16,1,Initial,NA,AAS,2022,-4.8701,3.0641,76.4793237
197,Conch,2,8/22/2022,Scarus,coeruleus,12,1,Initial,NA,AAS,2022,-5.0162,3.1109,28.30902672
198,Conch,2,8/22/2022,Scarus,iseri,8,1,Initial,NA,AAS,2022,-4.8887,3.0548,8.411225809
199,Conch,2,8/22/2022,Scarus,taeniopterus,7,1,Initial,NA,AAS,2022,-4.1836,2.7086,6.516772367
200,Conch,2,8/22/2022,Scarus,taeniopterus,6,1,Initial,NA,AAS,2022,-4.1836,2.7086,4.292402872
201,Conch,2,8/22/2022,Scarus,vetula,18,1,Initial,NA,AAS,2022,-5.5396,3.33,93.42378146
202,Conch,3,8/22/2022,Scarus,taeniopterus,3,1,Initial,NA,AAS,2022,-4.1836,2.7086,0.656644983
203,Conch,3,8/22/2022,Scarus,taeniopterus,3,1,Initial,NA,AAS,2022,-4.1836,2.7086,0.656644983
204,Conch,3,8/22/2022,Scarus,taeniopterus,9,1,Initial,NA,AAS,2022,-4.1836,2.7086,12.87245141
205,Conch,3,8/22/2022,Scarus,iseri,8,1,Initial,NA,AAS,2022,-4.8887,3.0548,8.411225809
206,Conch,3,8/22/2022,Scarus,iseri,3,1,Initial,NA,AAS,2022,-4.8887,3.0548,0.420348991
207,Conch,3,8/22/2022,Sparisoma,viride,11,1,Initial,NA,AAS,2022,-4.5223,2.9214,27.6327807
208,Conch,3,8/22/2022,Sparisoma,viride,4,1,Initial,NA,AAS,2022,-4.5223,2.9214,1.438659635
209,Conch,3,8/22/2022,Sparisoma,viride,2,1,Initial,NA,AAS,2022,-4.5223,2.9214,0.189901777
210,Conch,3,8/22/2022,Sparisoma,aurofrenatum,11,1,Initial,NA,AAS,2022,-5.7587,3.4291,17.43571079
211,Conch,3,8/22/2022,Sparisoma,aurofrenatum,22,1,Terminal,NA,AAS,2022,-5.7587,3.4291,187.8026062
212,Conch,3,8/22/2022,Sparisoma,aurofrenatum,5,1,Initial,NA,AAS,2022,-5.7587,3.4291,1.167449334
